駅名,建物構造,徒歩分,専有面積,間取り,部屋数,築年,所在階,成約価格
芝浦ふ頭,SRC,3,27,K,2,200608,12,30600000
天王洲アイル,SRC,3,66,R,1,201601,4,98900000
五反田,RC,3,37,K,1,200506,5,36100000
青山一丁目,SRC,6,58,R,1,200209,4,65800000
白金台,SRC,6,57,DK,1,201303,11,102000000
乃木坂,RC,9,56,DK,3,200209,6,63500000
お台場海浜公園,SRC,3,67,K,3,201509,4,82700000
青山一丁目,RC,9,111,R,1,200911,19,168100000
六本木,RC,8,86,DK,1,200510,14,123900000
六本木,RC,6,36,DK,1,198103,7,35200000
日の出,RC,10,98,K,2,199812,2,82200000
浜松町,SRC,3,98,R,1,200610,34,145600000
天王洲アイル,RC,4,33,K,1,198001,30,25400000
目黒,SRC,4,18,K,1,197512,5,14200000
泉岳寺,RC,6,39,R,1,198111,10,29800000
神谷町,RC,10,80,K,1,198309,3,72300000
赤坂見附,RC,2,56,R,2,200805,1,70500000
虎ノ門,RC,7,60,DK,1,201003,10,86600000
六本木,SRC,7,94,K,1,197506,3,77700000
白金高輪,SRC,8,83,R,1,199702,2,79700000
虎ノ門,SRC,6,54,R,2,198001,14,51800000
浜松町,SRC,1,21,K,1,200608,8,22500000
白金高輪,SRC,11,78,R,1,200209,45,81700000
渋谷,RC,2,32,K,1,197904,6,27500000
田町,RC,10,55,R,2,200211,2,49200000
お台場海浜公園,SRC,8,53,R,1,199908,12,42800000
北品川,SRC,9,61,R,1,201210,2,77200000
六本木,SRC,10,126,K,1,199708,19,192200000
外苑前,RC,8,85,K,1,200003,25,105400000
青山一丁目,RC,2,67,R,2,199903,15,83300000
高輪台,RC,10,55,DK,2,201202,5,56400000
目黒,RC,6,24,R,1,200610,3,26000000
溜池山王,SRC,6,60,R,1,200510,20,94500000
赤坂,SRC,9,17,DK,1,200205,5,22700000
渋谷,RC,1,22,K,2,197103,9,12600000
品川,SRC,5,48,R,2,201503,19,79500000
六本木,RC,10,88,K,2,201403,2,134100000
高輪台,SRC,2,69,R,1,201311,3,88900000
表参道,SRC,3,40,R,1,197906,6,43200000
北品川,SRC,3,106,R,1,200510,6,122500000
芝浦ふ頭,RC,1,40,K,2,199803,11,41100000
白金台,RC,6,68,R,1,200510,12,95500000
表参道,RC,6,64,R,3,197909,2,59200000
御成門,RC,13,58,DK,1,201303,9,57300000
お台場海浜公園,RC,7,67,K,1,199903,1,52700000
泉岳寺,SRC,2,22,DK,1,200209,22,29300000
御成門,RC,3,79,K,2,200303,2,94800000
大門,RC,2,54,R,1,198001,3,44000000
青山一丁目,RC,11,34,R,2,200605,13,39000000
天王洲アイル,SRC,6,22,K,1,197105,7,10700000
泉岳寺,SRC,5,57,K,1,200611,12,68600000
泉岳寺,RC,5,76,R,2,201401,9,96900000
広尾,RC,9,22,DK,2,200511,6,28100000
高輪台,RC,10,59,DK,1,198102,6,45700000
白金高輪,SRC,13,35,R,3,201401,3,31700000
天王洲アイル,RC,12,94,R,1,201003,4,97200000
新橋,SRC,6,17,K,1,201408,14,29300000
大門,SRC,4,55,K,2,197912,1,38500000
五反田,RC,4,69,K,2,200003,17,71600000
神谷町,SRC,5,70,R,1,201005,6,123800000
品川,SRC,5,46,K,1,200610,4,54200000
お台場海浜公園,SRC,6,20,R,1,201705,3,30800000
北品川,SRC,7,85,R,2,200406,20,99400000
汐留,RC,4,37,K,3,200105,3,37900000
六本木一丁目,SRC,8,113,K,3,198005,8,112300000
青山一丁目,RC,6,74,R,1,200411,7,99400000
北品川,RC,4,24,R,1,200610,3,20500000
六本木,SRC,4,80,K,2,197608,2,77900000
表参道,SRC,13,67,K,2,197803,33,55200000
泉岳寺,SRC,6,46,K,3,197910,2,31400000
外苑前,RC,10,20,R,1,200610,6,27100000
芝浦ふ頭,SRC,9,70,K,2,201505,10,95400000
白金高輪,RC,10,20,R,1,200510,24,28400000
田町,RC,10,75,K,1,201402,14,87200000
赤坂見附,RC,3,71,K,1,200510,7,86700000
乃木坂,RC,10,42,R,1,197703,14,31600000
外苑前,SRC,4,70,K,3,200512,3,85200000
六本木,SRC,5,67,K,1,199901,17,95200000
日の出,SRC,4,42,R,2,201210,21,59600000
六本木,SRC,4,84,K,2,196903,13,69900000
泉岳寺,SRC,6,87,R,2,200611,10,106800000
青山一丁目,RC,14,70,K,2,200311,13,69700000
青山一丁目,RC,13,63,R,3,201003,7,67800000
北品川,SRC,2,42,R,1,200003,11,36800000
青山一丁目,RC,8,61,R,3,201708,16,98700000
神谷町,RC,3,24,R,2,200605,5,27400000
目黒,SRC,5,135,R,2,200710,19,194200000
浜松町,RC,3,37,R,1,198211,6,28600000
高輪台,RC,4,13,K,1,201509,25,30700000
田町,RC,8,105,R,2,200906,6,124700000
神谷町,RC,6,56,R,1,198101,12,51400000
六本木一丁目,RC,1,45,R,1,200510,8,66900000
白金高輪,RC,3,36,K,3,199907,2,33600000
大門,RC,4,25,R,1,200502,2,23100000
御成門,RC,10,74,R,1,200610,4,71500000
白金高輪,SRC,12,71,R,2,199702,4,56400000
天王洲アイル,RC,6,63,R,1,199803,3,55200000
五反田,RC,1,56,R,2,201401,9,71500000
新橋,SRC,12,86,R,2,198007,17,68000000
白金高輪,SRC,2,66,R,2,197311,8,48400000
芝公園,RC,13,39,K,1,201210,6,42100000
天王洲アイル,RC,6,20,R,2,196808,7,14400000
六本木,SRC,10,67,R,3,201110,6,106000000
広尾,SRC,3,65,R,1,200610,12,100300000
新橋,SRC,7,44,R,2,200508,12,45200000
六本木一丁目,RC,7,88,R,2,200007,36,118600000
虎ノ門,RC,7,54,R,2,200409,10,62300000
白金高輪,SRC,4,49,K,2,200607,7,57500000
神谷町,SRC,12,34,R,1,200708,25,48300000
浜松町,SRC,5,58,K,2,197302,3,42800000
渋谷,SRC,14,100,K,1,197005,4,66800000
芝浦ふ頭,SRC,3,87,K,1,200610,19,109900000
表参道,RC,8,78,K,3,201003,3,134100000
泉岳寺,RC,7,80,R,1,200510,20,94300000
白金台,RC,9,53,R,3,201402,5,65000000
三田,SRC,2,80,R,2,200812,6,95200000
六本木一丁目,RC,1,64,R,1,199902,33,85500000
三田,RC,5,84,R,1,201303,3,100400000
神谷町,SRC,3,82,R,3,198301,35,89200000
赤羽橋,RC,2,57,R,3,199901,5,51500000
外苑前,RC,1,68,DK,1,201512,4,114500000
渋谷,RC,1,93,R,1,201404,28,159600000
お台場海浜公園,RC,5,76,K,1,200801,7,75200000
外苑前,RC,2,50,R,2,200804,7,68800000
天王洲アイル,RC,4,67,R,1,198307,3,46900000
浜松町,RC,2,66,K,1,197302,4,46200000
田町,RC,13,85,K,1,201408,5,87300000
北品川,SRC,9,55,R,1,201404,8,68500000
汐留,RC,4,36,K,2,200510,5,44100000
日の出,SRC,8,144,K,3,197103,9,91200000
白金高輪,RC,14,50,K,1,201212,1,51900000
日の出,RC,4,56,K,2,200710,4,56700000
乃木坂,SRC,4,67,DK,1,198211,47,66300000
表参道,RC,10,80,R,2,201402,2,124300000
汐留,SRC,8,92,K,2,200906,1,135500000
天王洲アイル,SRC,7,61,R,3,197105,2,43700000
六本木一丁目,SRC,10,90,R,1,199807,21,113000000
北品川,RC,1,87,R,1,200610,13,96500000
広尾,SRC,1,39,DK,2,197507,2,31100000
赤坂,RC,12,39,K,1,198511,32,35600000
北品川,SRC,7,32,K,2,200812,13,36600000
高輪台,RC,6,75,R,2,197911,2,61800000
六本木一丁目,SRC,15,48,R,1,200811,4,64500000
広尾,SRC,5,39,K,1,200608,1,44800000
日の出,RC,2,63,DK,1,200903,14,77100000
外苑前,RC,13,42,R,2,200610,17,47300000
浜松町,RC,5,44,R,2,201604,7,61100000
北品川,RC,5,65,K,2,201509,25,104400000
芝浦ふ頭,RC,8,107,K,2,198312,5,94500000
神谷町,SRC,12,38,K,3,196904,3,25000000
麻布十番,RC,9,71,R,3,200303,3,86500000
品川,SRC,1,22,K,3,200208,6,30100000
日の出,SRC,2,79,K,1,196903,4,55100000
白金台,RC,3,54,K,3,201402,11,78100000
北品川,RC,6,60,R,1,199911,2,54200000
溜池山王,SRC,12,61,R,2,197912,3,45500000
六本木,RC,3,67,K,1,197706,24,74600000
六本木,RC,6,39,R,1,200106,5,40800000
浜松町,SRC,14,55,K,1,201401,1,55500000
田町,SRC,6,70,K,1,200105,37,78000000
お台場海浜公園,SRC,5,35,K,2,201301,5,41000000
泉岳寺,RC,10,70,K,1,200906,10,74200000
白金台,SRC,12,82,K,1,200001,17,92300000
六本木,SRC,4,103,R,2,201505,9,244600000
芝公園,SRC,3,66,K,1,200209,2,61200000
目黒,SRC,4,71,K,2,201508,7,101800000
虎ノ門,RC,6,42,R,1,199709,28,52500000
目黒,RC,8,43,R,2,197105,14,26400000
三田,RC,4,38,R,2,197703,23,31500000
芝公園,SRC,10,22,DK,1,197807,6,14100000
赤羽橋,RC,9,37,R,2,201005,12,45300000
目黒,RC,2,77,K,2,198812,21,70300000
麻布十番,SRC,4,87,K,1,200610,3,136300000
渋谷,SRC,5,50,K,2,201701,28,90900000
麻布十番,SRC,10,50,R,1,200510,14,57400000
高輪台,SRC,7,60,R,3,200501,9,67000000
大門,RC,7,88,K,3,198003,2,70300000
赤羽橋,SRC,5,53,K,1,200502,13,61000000
高輪台,SRC,10,72,DK,1,200610,5,74100000
神谷町,RC,13,16,R,2,200610,38,20500000
溜池山王,SRC,4,123,K,1,199810,10,192400000
麻布十番,RC,10,33,K,1,200804,5,43600000
天王洲アイル,SRC,12,51,R,1,199708,2,33900000
広尾,RC,4,95,R,2,201410,7,181700000
虎ノ門,SRC,5,81,R,4,198111,4,74900000
白金高輪,RC,8,59,R,3,200203,7,53400000
白金高輪,SRC,8,98,R,1,200503,5,105900000
外苑前,SRC,14,64,DK,1,197911,16,49300000
天王洲アイル,RC,5,77,K,2,198103,13,61800000
五反田,RC,10,26,K,1,200611,3,20000000
六本木一丁目,RC,11,41,R,1,199909,8,39200000
乃木坂,SRC,3,19,R,3,200302,3,28700000
神谷町,RC,6,57,R,1,200007,6,61600000
目黒,SRC,6,18,DK,1,201003,7,21400000
日の出,RC,8,54,R,3,200610,4,44100000
渋谷,RC,5,57,DK,1,200611,5,56900000
白金高輪,RC,8,71,K,2,200410,1,67300000
三田,RC,1,60,K,2,199909,9,59800000
高輪台,RC,10,41,DK,2,197608,8,32400000
北品川,RC,6,73,R,2,200610,4,75700000
品川,SRC,7,20,R,2,200712,5,26900000
六本木,SRC,8,85,R,1,198304,11,86500000
広尾,SRC,8,177,R,1,197103,16,192800000
高輪台,SRC,4,16,DK,1,196803,2,10200000
日の出,RC,6,70,K,1,197802,9,48400000
渋谷,SRC,1,53,R,1,197909,3,38500000
六本木,SRC,4,65,R,2,197803,8,58600000
六本木,SRC,5,20,K,1,200012,8,24500000
白金台,SRC,14,55,DK,2,200804,4,69200000
青山一丁目,SRC,2,20,K,3,198110,2,16200000
赤羽橋,SRC,6,22,R,2,201509,9,40400000
芝公園,RC,7,26,R,3,200611,5,24400000
汐留,SRC,12,75,DK,1,200105,7,78500000
虎ノ門,SRC,8,107,K,3,200001,6,136300000
天王洲アイル,RC,1,71,R,2,198201,3,45800000
広尾,SRC,10,76,R,1,201602,9,169100000
青山一丁目,RC,3,61,R,3,199004,12,63600000
浜松町,RC,10,89,R,1,200312,26,88000000
溜池山王,SRC,7,13,K,3,200508,2,15800000
日の出,RC,5,19,R,1,200710,12,17400000
赤羽橋,RC,14,53,R,2,197909,10,36300000
赤坂見附,SRC,8,70,R,1,200602,2,71600000
泉岳寺,RC,6,53,K,2,197703,2,42900000
泉岳寺,RC,14,83,R,3,200701,13,74800000
天王洲アイル,RC,4,20,R,3,200406,3,21000000
浜松町,RC,3,19,R,2,200802,7,28600000
赤坂,RC,6,112,R,2,199912,10,147700000
田町,SRC,3,20,R,2,200106,11,19000000
芝浦ふ頭,SRC,9,88,R,2,200002,16,87300000
日の出,RC,6,79,K,1,197205,8,59600000
五反田,RC,10,39,K,1,200208,11,30800000
大門,SRC,5,41,K,1,200608,9,42000000
お台場海浜公園,SRC,1,61,R,1,200002,21,67000000
高輪台,SRC,10,55,K,2,201202,3,57400000
泉岳寺,RC,3,75,K,1,199909,4,73100000
赤坂,SRC,5,108,K,3,200610,24,204100000
品川,RC,6,94,R,2,201301,12,129200000
芝浦ふ頭,SRC,5,25,R,3,197608,9,11800000
御成門,SRC,8,34,K,2,197103,5,24900000
高輪台,SRC,12,19,R,1,200102,8,22400000
赤坂,RC,6,53,K,1,197808,2,46000000
神谷町,RC,10,38,DK,1,198001,8,26900000
三田,SRC,2,21,K,1,197005,1,12200000
品川,SRC,3,66,K,1,197604,4,62600000
表参道,RC,7,162,DK,1,200303,1,320400000
お台場海浜公園,RC,6,59,R,2,197103,16,44600000
日の出,RC,3,102,R,2,200510,24,127700000
溜池山王,SRC,6,22,R,3,199603,8,25300000
六本木,RC,1,28,K,1,200501,12,43000000
麻布十番,SRC,3,55,K,1,200610,4,78700000
汐留,RC,1,93,DK,1,196411,30,81700000
麻布十番,SRC,4,86,DK,1,200611,44,156800000
泉岳寺,SRC,4,24,R,2,199908,14,20300000
日の出,RC,6,38,R,1,200610,5,37200000
麻布十番,SRC,4,83,R,2,198305,3,83600000
芝浦ふ頭,SRC,9,27,R,1,201403,5,27000000
汐留,SRC,13,39,K,1,197909,27,27400000
芝公園,RC,7,38,R,2,197808,2,28700000
お台場海浜公園,RC,8,63,K,2,199809,1,47900000
虎ノ門,RC,9,85,DK,2,200209,4,101400000
芝公園,SRC,5,83,K,3,198312,30,93400000
白金台,SRC,14,56,R,1,201402,12,94500000
三田,RC,10,31,R,2,200401,9,33700000
青山一丁目,SRC,3,146,R,1,200710,8,238400000
お台場海浜公園,RC,8,46,DK,2,197802,5,35200000
高輪台,SRC,9,60,R,1,199709,10,54800000
広尾,SRC,7,70,K,1,200501,10,97700000
渋谷,RC,12,20,DK,1,197808,13,11000000
渋谷,RC,9,50,R,1,200610,4,46600000
新橋,SRC,3,101,DK,2,199810,22,127000000
泉岳寺,SRC,14,22,K,1,201505,1,25600000
乃木坂,SRC,3,61,DK,1,200610,23,92800000
虎ノ門,SRC,2,16,R,1,201509,2,28400000
新橋,RC,9,24,K,3,197103,13,18900000
虎ノ門,RC,8,45,K,1,198210,24,40300000
広尾,RC,6,65,R,1,200610,13,91900000
御成門,SRC,1,35,R,1,201312,3,46400000
新橋,RC,8,42,DK,1,198003,2,31600000
赤坂,SRC,14,56,K,2,200107,13,56900000
芝公園,RC,2,60,R,1,199903,18,65100000
外苑前,SRC,4,29,DK,1,200411,11,32900000
神谷町,RC,6,46,R,2,197105,10,41600000
浜松町,SRC,7,65,R,2,197711,4,49500000
高輪台,RC,14,23,DK,1,200906,9,25600000
赤坂,SRC,12,18,K,1,199202,6,17500000
北品川,RC,5,58,K,2,201111,15,67700000
表参道,RC,2,25,K,1,201007,3,44500000
北品川,RC,7,22,R,1,201111,4,26000000
芝浦ふ頭,RC,6,51,R,3,201102,2,44700000
六本木一丁目,RC,13,134,R,1,200610,17,185400000
虎ノ門,RC,6,105,DK,2,201212,2,176100000
泉岳寺,SRC,2,44,R,1,197209,5,33800000
溜池山王,RC,1,55,DK,1,200409,7,67700000
虎ノ門,SRC,2,32,R,1,198309,10,27700000
浜松町,RC,2,121,K,1,200611,10,162900000
五反田,RC,3,60,K,1,197803,17,52100000
泉岳寺,SRC,10,55,R,2,196309,9,34500000
白金高輪,RC,5,37,K,1,197604,4,24800000
御成門,SRC,3,98,R,1,199907,6,103400000
天王洲アイル,RC,13,71,K,2,198410,8,49500000
青山一丁目,RC,5,68,K,2,198302,2,61300000
赤坂見附,RC,3,63,R,1,197104,10,53600000
天王洲アイル,SRC,4,27,R,1,199803,8,19600000
白金高輪,SRC,3,88,K,2,197105,8,82800000
赤羽橋,SRC,7,28,K,1,201202,10,40500000
白金台,SRC,12,18,DK,2,200509,6,21500000
神谷町,RC,4,48,R,1,200411,3,55600000
御成門,RC,5,61,R,1,200012,7,59200000
青山一丁目,RC,4,81,K,4,200906,4,119600000
天王洲アイル,SRC,4,54,R,1,200002,14,54300000
天王洲アイル,RC,2,29,K,1,201309,31,35200000
溜池山王,SRC,8,20,DK,1,200502,3,21200000
御成門,RC,8,50,DK,1,198209,28,37500000
乃木坂,RC,6,69,R,2,200610,11,84400000
表参道,SRC,10,43,K,3,199110,19,47100000
新橋,RC,8,56,K,2,200608,8,57500000
麻布十番,SRC,3,52,K,2,200202,5,57500000
天王洲アイル,SRC,4,51,DK,3,198312,7,35600000
芝公園,RC,6,55,K,2,200209,13,65800000
渋谷,SRC,2,59,DK,1,200511,8,59000000
品川,RC,6,69,R,1,199807,6,68700000
赤坂,SRC,8,75,R,3,199702,2,81000000
日の出,SRC,8,76,R,2,200401,13,72500000
五反田,RC,2,45,K,2,197811,6,34800000
北品川,SRC,7,53,K,2,197301,3,33400000
虎ノ門,RC,5,95,DK,2,198005,14,95000000
六本木,RC,3,99,R,1,200608,38,179900000
大門,RC,14,94,K,1,201407,2,106900000
天王洲アイル,RC,6,106,R,1,201401,6,142600000
白金高輪,SRC,9,40,DK,2,199903,6,34700000
品川,SRC,14,46,K,2,200001,19,41400000
外苑前,RC,9,79,R,1,198011,18,71700000
北品川,RC,6,106,R,3,198310,30,105500000
天王洲アイル,SRC,8,20,R,1,200202,15,18800000
芝公園,RC,4,68,R,2,200209,21,83900000
渋谷,SRC,10,82,R,2,201509,23,134900000
芝浦ふ頭,SRC,8,78,R,2,200209,2,68400000
赤羽橋,RC,12,68,R,2,197311,5,49000000
赤坂,RC,1,97,K,1,200310,6,126100000
お台場海浜公園,SRC,6,57,K,2,200710,2,51400000
溜池山王,RC,13,57,DK,3,198305,4,43100000
虎ノ門,RC,1,103,K,1,200906,11,195200000
渋谷,RC,6,62,R,3,198204,7,47900000
芝浦ふ頭,SRC,6,53,K,3,200610,26,65100000
赤坂,SRC,3,24,K,1,201509,13,53000000
白金高輪,RC,2,15,R,3,196809,18,14500000
浜松町,SRC,13,19,K,1,199901,5,12800000
泉岳寺,RC,9,35,K,1,198001,6,26000000
新橋,SRC,7,134,K,2,201306,3,194100000
赤羽橋,RC,5,70,R,2,200804,12,97400000
大門,RC,7,39,R,1,199202,7,32600000
浜松町,SRC,4,40,R,3,200511,2,42300000
赤羽橋,SRC,10,58,K,1,201403,3,84500000
虎ノ門,RC,2,64,K,1,200708,12,85800000
五反田,SRC,11,79,R,1,200810,6,76500000
お台場海浜公園,SRC,3,82,DK,1,200906,12,101000000
白金台,SRC,6,37,K,2,200511,7,45600000
泉岳寺,SRC,8,65,K,2,200710,9,70500000
泉岳寺,SRC,3,40,K,2,200209,2,40900000
北品川,SRC,9,52,R,1,198102,11,35700000
赤羽橋,SRC,6,90,K,3,197103,9,78000000
お台場海浜公園,RC,8,62,K,2,200401,2,52000000
虎ノ門,RC,8,23,R,1,201202,8,26700000
麻布十番,SRC,5,123,R,3,200204,2,213100000
お台場海浜公園,SRC,8,36,R,3,200410,3,35800000
新橋,SRC,4,39,K,3,201402,5,42800000
青山一丁目,SRC,8,51,R,1,201601,2,75600000
高輪台,SRC,6,69,K,2,200610,17,96100000
目黒,SRC,8,70,DK,2,197911,3,45600000
新橋,RC,1,23,R,2,200208,4,28800000
三田,RC,8,63,R,2,197612,6,49100000
赤坂,SRC,8,53,K,1,200508,15,67600000
新橋,RC,13,85,K,1,197105,13,61600000
白金台,RC,12,45,K,1,200610,21,59000000
天王洲アイル,SRC,12,74,K,2,200602,3,60000000
白金台,RC,6,41,K,2,200510,32,61500000
三田,RC,7,55,K,1,197512,11,39300000
北品川,RC,7,20,K,2,200906,6,22700000
日の出,RC,11,55,R,1,201007,2,47900000
六本木一丁目,RC,8,67,R,1,200206,7,75400000
三田,RC,5,87,DK,1,198301,8,76600000
新橋,RC,2,52,K,1,198203,5,37400000
五反田,RC,7,23,K,2,200611,7,25800000
汐留,RC,6,145,R,2,200605,6,213200000
天王洲アイル,SRC,8,15,R,1,200502,4,11800000
大門,SRC,4,88,K,1,201002,9,121700000
高輪台,RC,6,52,DK,3,201509,10,65500000
広尾,SRC,3,47,DK,1,201302,12,83400000
浜松町,SRC,6,50,R,2,199803,3,44700000
六本木一丁目,SRC,2,52,K,2,200311,14,71800000
赤羽橋,RC,1,44,R,1,200511,38,60700000
赤坂見附,SRC,14,25,DK,1,201509,9,30500000
渋谷,SRC,3,51,DK,2,200610,2,46500000
神谷町,RC,2,26,R,1,199706,19,27300000
汐留,SRC,10,77,R,2,201111,24,132300000
六本木一丁目,RC,13,82,DK,2,201308,15,107900000
芝浦ふ頭,RC,8,96,K,3,201410,8,114200000
溜池山王,RC,4,48,R,3,200911,7,66900000
汐留,RC,2,63,DK,2,200805,9,89100000
乃木坂,SRC,9,28,R,1,200508,3,31400000
白金台,RC,8,66,R,1,200802,5,85000000
北品川,RC,3,55,K,4,201105,12,57200000
三田,RC,5,42,K,2,200311,32,55800000
神谷町,RC,4,45,R,1,201509,7,78700000
泉岳寺,SRC,3,76,K,1,200308,11,88100000
天王洲アイル,SRC,5,84,K,1,200906,29,132600000
三田,RC,4,97,R,5,198210,13,79900000
お台場海浜公園,RC,13,74,R,2,200209,3,54000000
泉岳寺,SRC,1,53,K,3,200906,39,78200000
神谷町,RC,3,85,K,2,198210,7,85400000
虎ノ門,RC,2,80,R,1,200209,23,104600000
表参道,SRC,8,112,R,1,200509,5,170800000
虎ノ門,RC,3,53,DK,1,199711,12,55100000
乃木坂,RC,6,53,R,1,199002,12,50600000
北品川,SRC,5,30,R,1,201201,2,32000000
六本木,RC,3,42,K,1,200202,6,60900000
六本木一丁目,RC,1,42,K,2,198007,18,42600000
白金台,RC,4,73,LK,2,197207,9,69300000
汐留,RC,9,57,R,2,200906,9,71700000
芝浦ふ頭,SRC,8,81,K,2,198211,10,63300000
表参道,SRC,6,54,R,1,198003,8,54200000
外苑前,RC,10,63,R,2,200605,18,79400000
日の出,SRC,3,130,R,2,200906,2,178500000
田町,SRC,8,68,R,5,201509,9,81200000
浜松町,SRC,8,58,K,3,200608,4,56300000
神谷町,SRC,7,37,R,3,200305,5,42700000
三田,SRC,9,64,R,2,197608,5,45800000
田町,SRC,12,22,R,1,200508,3,23200000
浜松町,RC,3,42,K,1,199803,4,37600000
五反田,SRC,4,20,K,1,200104,19,22800000
外苑前,SRC,11,67,K,2,200303,3,69900000
品川,SRC,5,50,R,3,198405,39,42500000
麻布十番,RC,9,15,R,1,200105,11,19600000
新橋,SRC,2,20,R,2,201212,5,27100000
お台場海浜公園,SRC,2,23,DK,2,197705,3,16400000
新橋,SRC,5,17,R,1,200311,7,21500000
高輪台,SRC,12,91,R,1,200510,40,99100000
広尾,RC,5,76,K,1,200411,11,107200000
浜松町,RC,12,64,K,1,199909,11,49800000
お台場海浜公園,SRC,7,53,DK,3,200209,6,47900000
表参道,RC,2,70,R,2,200301,10,106500000
六本木一丁目,RC,9,62,K,1,199901,37,79100000
乃木坂,SRC,15,60,K,1,201005,15,84600000
品川,RC,11,25,K,2,200605,22,28300000
三田,RC,9,52,R,1,200102,8,42500000
大門,RC,8,19,R,2,201402,3,20900000
赤坂見附,RC,8,65,R,2,199703,11,70300000
乃木坂,RC,3,69,K,2,200401,23,92900000
芝公園,SRC,7,37,K,3,201708,23,63400000
北品川,RC,2,24,DK,1,200002,2,22800000
六本木,RC,1,53,K,1,200710,7,81600000
虎ノ門,SRC,12,20,R,1,201708,11,33000000
溜池山王,RC,4,47,K,3,200209,6,53000000
六本木,RC,14,130,R,1,200906,11,197300000
渋谷,RC,3,33,R,2,200511,3,33500000
赤坂見附,SRC,8,22,K,2,200407,12,26300000
田町,RC,8,35,K,2,201102,5,38700000
品川,RC,11,69,R,2,201303,5,66500000
乃木坂,SRC,10,23,DK,2,200510,2,27300000
溜池山王,RC,2,58,R,2,197203,15,49100000
北品川,RC,5,48,DK,3,201508,5,52800000
天王洲アイル,RC,14,73,K,1,198102,25,54000000
赤坂見附,SRC,13,21,R,2,197009,2,15000000
お台場海浜公園,RC,3,55,R,2,200503,5,50000000
田町,SRC,6,71,R,2,198203,6,54600000
赤羽橋,RC,6,131,DK,1,200602,2,159700000
外苑前,SRC,4,70,R,3,198201,5,64900000
六本木一丁目,SRC,3,82,DK,2,200610,11,126900000
品川,SRC,5,55,R,1,200509,4,62400000
外苑前,SRC,10,60,K,2,201402,18,106200000
田町,SRC,2,84,K,1,200505,6,86300000
芝公園,SRC,2,38,DK,2,200310,5,36700000
お台場海浜公園,SRC,5,35,R,2,200712,14,31100000
新橋,RC,2,70,K,1,201409,7,87200000
新橋,RC,6,33,R,1,200502,12,41000000
お台場海浜公園,SRC,3,23,DK,1,200608,3,19200000
六本木,SRC,13,83,R,2,199803,3,86400000
麻布十番,RC,6,42,K,5,199803,3,46600000
溜池山王,RC,10,46,R,2,200906,3,57100000
麻布十番,RC,2,71,DK,1,201509,3,116700000
大門,RC,2,91,K,1,197712,12,74100000
六本木,RC,3,70,K,3,200407,8,110500000
五反田,RC,7,20,K,1,200611,21,20200000
六本木一丁目,RC,3,25,K,3,200003,13,33500000
外苑前,RC,11,71,K,1,197809,12,55700000
青山一丁目,RC,13,23,K,2,200510,2,26300000
青山一丁目,SRC,4,22,R,3,200507,24,35200000
品川,SRC,2,22,K,2,200802,6,24600000
芝浦ふ頭,RC,6,54,R,3,200805,2,49700000
田町,RC,10,91,K,1,197110,4,63200000
お台場海浜公園,SRC,12,69,R,1,200611,8,47800000
天王洲アイル,SRC,9,26,K,2,197806,7,20200000
日の出,SRC,3,52,DK,3,199903,3,43400000
赤坂見附,SRC,6,82,R,1,200507,49,125400000
お台場海浜公園,SRC,2,61,K,2,197604,9,39400000
芝公園,SRC,3,53,R,1,201208,3,72100000
目黒,RC,2,23,R,1,198106,5,15000000
赤坂,SRC,3,38,K,1,197804,4,27900000
御成門,SRC,6,50,R,3,199902,4,41400000
品川,SRC,14,21,R,2,200510,32,22900000
乃木坂,RC,10,54,K,1,197803,5,41600000
乃木坂,RC,5,60,R,2,201210,21,97200000
乃木坂,RC,13,62,R,1,200804,12,71800000
芝公園,RC,6,80,K,2,200611,6,86200000
六本木,RC,8,72,R,3,197605,11,63300000
表参道,SRC,6,71,DK,2,201402,5,147500000
日の出,RC,10,92,K,1,201312,22,126000000
溜池山王,SRC,10,76,R,2,200906,13,117600000
目黒,RC,10,57,K,1,200203,28,52500000
品川,SRC,10,30,K,2,197910,2,25100000
泉岳寺,RC,8,79,DK,1,201202,14,83800000
乃木坂,RC,3,36,R,2,199802,14,46000000
田町,RC,4,113,R,1,200310,17,151200000
目黒,RC,14,44,K,1,197904,4,30700000
六本木一丁目,RC,4,35,K,1,200406,2,38800000
赤羽橋,SRC,13,39,K,1,200810,5,37100000
高輪台,SRC,5,18,K,2,200401,15,22200000
渋谷,RC,6,91,R,1,200303,8,94300000
青山一丁目,RC,8,121,R,1,198310,6,125900000
芝公園,RC,10,35,R,2,197105,21,23100000
表参道,RC,3,59,K,3,199911,3,74700000
外苑前,SRC,15,76,DK,1,201002,8,104900000
北品川,RC,3,90,R,2,200108,27,99900000
五反田,RC,13,79,R,1,200507,7,68400000
青山一丁目,RC,13,58,R,1,200805,17,67800000
六本木,SRC,3,55,K,2,199911,4,69800000
大門,RC,5,44,DK,1,200708,9,48300000
虎ノ門,SRC,3,19,R,1,200510,5,26700000
北品川,RC,6,55,K,1,200303,4,57800000
赤羽橋,SRC,2,80,R,1,197612,1,50500000
大門,SRC,2,31,K,2,200302,15,36900000
北品川,RC,6,150,R,3,198003,38,136100000
お台場海浜公園,SRC,1,22,R,1,200710,16,28400000
白金高輪,SRC,2,60,R,1,201505,25,130000000
六本木一丁目,SRC,2,74,K,1,197302,28,76500000
